DIST_ID,DIST_NAME,POPULATION,ZONE_TYPE,AFFLUENCE,SUBSCRIBERS,AVG_ARPU,AVG_CHURN,COV_4G_PCT,COV_GAP_POP,FIBER_STATUS,MW_BACKHAUL,SUITABILITY,PRIORITY,CENTROID_LON,CENTROID_LAT
DZ-01,Central Business District,185000,Urban Core,0.92,69,38.2,0.18,96.5,3768,Lit,Planned,8.52,P2-Defend,69.165,34.528
DZ-02,North Residential,142000,Residential,0.78,53,49.03,0.345,95.4,3192,Partial,,8.06,P2-Defend,69.15,34.56
DZ-03,East Industrial,98000,Industrial,0.55,43,44.58,0.436,88.1,3687,Lit,OnAir,6.79,P4-Monitor,69.22,34.53
DZ-04,West Expansion,121000,Mixed Growth,0.7,60,10.67,0.299,83.1,9231,Planned,Planned,5.86,P1-Expand,69.1,34.52
DZ-05,South Corridor,156000,Transport Hub,0.68,63,40.47,0.298,83.9,15867,Lit,,7.62,P4-Monitor,69.175,34.48
DZ-06,Airport Zone,64000,Special Use,0.6,28,23.37,0.292,84.5,6318,Lit,OnAir,5.64,P4-Monitor,69.21,34.565
DZ-07,University Belt,110000,Education,0.8,53,23.44,0.211,93.2,3486,Partial,OnAir,6.7,P2-Defend,69.14,34.545
DZ-08,Old City,99000,Heritage Urban,0.75,46,37.57,0.22,81.6,10571,Lit,Planned,6.96,P4-Monitor,69.185,34.515
DZ-09,New Town,87000,Suburban Growth,0.72,37,13.61,0.284,87.2,5509,Partial,Planned,5.69,P1-Expand,69.09,34.555
DZ-10,River Park,73000,Recreation/Mixed,0.65,28,18.62,0.332,85.8,3832,Lit,OnAir,5.56,P4-Monitor,69.195,34.5
DZ-11,Tech Park,52000,Commercial,0.85,30,42.55,0.229,89.9,3056,Planned,OnAir,6.85,P1-Expand,69.125,34.5
DZ-12,Peri-Urban North,45000,Peri-Urban,0.48,16,34.24,0.62,61.0,4795,None,,4.34,P3-FixQoS,69.16,34.59
